Link,Total Call Duration,Total Effective Talk Duration,Total Effective Talk Percent,Talk Duration (Mono Right),Talk Duration (Mono Left),Talk Percent (Mono Right),Talk Percent (Mono Left),Overlaps Count (Total),Overlaps Count (Mono Right),Overlaps Count (Mono Left),Overlaps Duration (Total),Overlaps Duration (Mono Right),Overlaps Duration (Mono Left),Overlaps Percent (Total),Overlaps Percent (Mono Right),Overlaps Percent (Mono Left),Overall Emotion (Total),Overall Emotion (Mono Right),Overall Emotion (Mono Left)
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/39c7fc47a986060884e0d4b3143e17b2.mp3,0.54 Minutes,0.5 Minutes,92.59%,0.14 Minutes,0.43 Minutes,24.57 %,75.43 %,4 Times,2 Times,2 Times,0.06 Minutes,0.04 Minutes,0.02 Minutes,12.31 %,7.36 %,4.95 %,surprise,surprise,angry
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/567f80ea0159492ed6e90dc5dd5317ba.mp3,0.64 Minutes,0.51 Minutes,79.28%,0.16 Minutes,0.4 Minutes,28.46 %,71.54 %,2 Times,1 Times,1 Times,0.05 Minutes,0.01 Minutes,0.04 Minutes,9.35 %,1.50 %,7.85 %,angry,angry,angry
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/6b467a177bf1c62356969bc4e61d17b6.mp3,3.97 Minutes,3.74 Minutes,94.35%,1.16 Minutes,2.76 Minutes,29.6 %,70.4 %,10 Times,6 Times,4 Times,0.17 Minutes,0.12 Minutes,0.05 Minutes,4.56 %,3.25 %,1.31 %,surprise,surprise,angry
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/55b3a331537b38ad9810435436a617b9.mp3,0.99 Minutes,0.81 Minutes,81.53%,0.31 Minutes,0.73 Minutes,29.64 %,70.36 %,3 Times,3 Times,0 Times,0.22 Minutes,0.22 Minutes,0.0 Minutes,27.32 %,27.32 %,0.00 %,surprise,angry,angry
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/9fe3aec42707874b66f4f5fd929e17bd.mp3,1.94 Minutes,1.6 Minutes,82.29%,0.51 Minutes,1.28 Minutes,28.42 %,71.58 %,7 Times,4 Times,3 Times,0.19 Minutes,0.13 Minutes,0.06 Minutes,11.88 %,8.03 %,3.85 %,surprise,angry,angry
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/dc2f11e7879156650e175181cfba17b8.mp3,1.25 Minutes,1.1 Minutes,88.64%,0.55 Minutes,0.71 Minutes,43.72 %,56.28 %,7 Times,3 Times,4 Times,0.16 Minutes,0.03 Minutes,0.13 Minutes,14.40 %,3.02 %,11.38 %,angry,angry,surprise
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/1666a0cee426ecbd959fb09cedf417ba.mp3,0.55 Minutes,0.42 Minutes,77.31%,0.13 Minutes,0.33 Minutes,28.82 %,71.18 %,2 Times,1 Times,1 Times,0.04 Minutes,0.03 Minutes,0.01 Minutes,8.93 %,7.47 %,1.47 %,surprise,surprise,angry
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/abec5aaf06a28f735bb0336b327217b4.mp3,0.26 Minutes,0.23 Minutes,87.85%,0.18 Minutes,0.2 Minutes,47.68 %,52.32 %,1 Times,0 Times,1 Times,0.15 Minutes,0.0 Minutes,0.15 Minutes,66.33 %,0.00 %,66.33 %,surprise,angry,angry
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/dc9d4b454ee9239a55af9ad6a59d17b1.mp3,4.69 Minutes,4.27 Minutes,91.14%,2.59 Minutes,2.23 Minutes,53.66 %,46.34 %,21 Times,14 Times,7 Times,0.55 Minutes,0.4 Minutes,0.15 Minutes,12.79 %,9.32 %,3.47 %,angry,angry,angry
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/9f41a6164366a85a39aee5a81da417bi.mp3,0.44 Minutes,0.22 Minutes,51.49%,0.03 Minutes,0.19 Minutes,14.48 %,85.52 %,0 Times,0 Times,0 Times,0.0 Minutes,0.0 Minutes,0.0 Minutes,0.00 %,0.00 %,0.00 %,surprise,angry,fear
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/27b8d8e46d35656738902f5fc45317b7.mp3,0.18 Minutes,0.13 Minutes,74.67%,0.0 Minutes,0.13 Minutes,0.0 %,100.0 %,0 Times,0 Times,0 Times,0.0 Minutes,0.0 Minutes,0.0 Minutes,0.00 %,0.00 %,0.00 %,neutral,neutral,angry
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/4e370182d63b0f83db14dcd0ad2b17b6.mp3,1.28 Minutes,1.1 Minutes,85.80%,0.4 Minutes,0.85 Minutes,31.73 %,68.27 %,2 Times,2 Times,0 Times,0.15 Minutes,0.15 Minutes,0.0 Minutes,13.78 %,13.78 %,0.00 %,neutral,angry,angry
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/8a2eff48d61dd1f2d6dc4f7c58ea17b3.mp3,0.55 Minutes,0.38 Minutes,68.18%,0.12 Minutes,0.27 Minutes,29.62 %,70.38 %,2 Times,1 Times,1 Times,0.01 Minutes,0.01 Minutes,0.0 Minutes,3.62 %,3.24 %,0.38 %,angry,angry,neutral
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/36b64faa64848c135235e7f5777417bk.mp3,0.06 Minutes,0.0 Minutes,0.00%,0.0 Minutes,0.0 Minutes,nan %,nan %,0 Times,0 Times,0 Times,0.0 Minutes,0.0 Minutes,0.0 Minutes,nan %,nan %,nan %,angry,angry,angry
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/0b9dcd6ec963f0fc9e15cb057cfd17b1.mp3,0.43 Minutes,0.35 Minutes,80.45%,0.06 Minutes,0.31 Minutes,15.91 %,84.09 %,1 Times,1 Times,0 Times,0.02 Minutes,0.02 Minutes,0.0 Minutes,6.74 %,6.74 %,0.00 %,surprise,angry,fear
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/987bcef0eebf895612bab9ce277a17b4.mp3,7.4 Minutes,6.94 Minutes,93.75%,3.83 Minutes,4.31 Minutes,47.08 %,52.92 %,37 Times,22 Times,15 Times,1.2 Minutes,0.73 Minutes,0.46 Minutes,17.27 %,10.57 %,6.69 %,surprise,happy,angry
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/255b1a9667d3105ea6bda7eec89b17b9.mp3,0.57 Minutes,0.47 Minutes,82.76%,0.22 Minutes,0.28 Minutes,43.74 %,56.26 %,2 Times,1 Times,1 Times,0.03 Minutes,0.02 Minutes,0.01 Minutes,7.00 %,4.61 %,2.39 %,angry,angry,angry
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/c9614f5e9d3b679b5651581a25b417bd.mp3,0.74 Minutes,0.56 Minutes,75.40%,0.16 Minutes,0.48 Minutes,25.4 %,74.6 %,3 Times,2 Times,1 Times,0.08 Minutes,0.07 Minutes,0.0 Minutes,14.26 %,13.39 %,0.86 %,angry,angry,surprise
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/52a22611d71b2fec70c48bee7f3017bd.mp3,1.7 Minutes,1.57 Minutes,92.26%,0.59 Minutes,1.28 Minutes,31.59 %,68.41 %,15 Times,9 Times,6 Times,0.3 Minutes,0.21 Minutes,0.09 Minutes,19.09 %,13.41 %,5.68 %,surprise,angry,angry
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/c4ff68bd4dcdac25255a97c6512c17b1.mp3,0.49 Minutes,0.33 Minutes,67.58%,0.04 Minutes,0.29 Minutes,13.37 %,86.63 %,0 Times,0 Times,0 Times,0.0 Minutes,0.0 Minutes,0.0 Minutes,0.00 %,0.00 %,0.00 %,surprise,surprise,angry
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/13233a064770e02d6bc9f3c6f00e17b9.mp3,1.17 Minutes,1.08 Minutes,92.07%,0.54 Minutes,0.75 Minutes,41.97 %,58.03 %,8 Times,5 Times,3 Times,0.2 Minutes,0.15 Minutes,0.05 Minutes,18.82 %,14.08 %,4.74 %,neutral,angry,angry
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/f845bb289bbeba3cc9123e0c179517b9.mp3,1.06 Minutes,0.9 Minutes,84.94%,0.15 Minutes,0.76 Minutes,16.71 %,83.29 %,1 Times,1 Times,0 Times,0.01 Minutes,0.01 Minutes,0.0 Minutes,1.35 %,1.35 %,0.00 %,surprise,fear,angry
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/a3950de0cc5f177913652e37c64417b6.mp3,0.6 Minutes,0.53 Minutes,88.23%,0.08 Minutes,0.46 Minutes,15.46 %,84.54 %,1 Times,1 Times,0 Times,0.01 Minutes,0.01 Minutes,0.0 Minutes,1.33 %,1.33 %,0.00 %,surprise,angry,angry
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/e47c40569b90d47af5771e2042eb17b1.mp3,1.06 Minutes,0.94 Minutes,88.11%,0.27 Minutes,0.77 Minutes,25.91 %,74.09 %,7 Times,5 Times,2 Times,0.1 Minutes,0.07 Minutes,0.03 Minutes,10.73 %,7.62 %,3.11 %,angry,angry,angry
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/fd76f8e71723e8428c7fe251a2e417b9.mp3,0.26 Minutes,0.08 Minutes,29.41%,0.0 Minutes,0.08 Minutes,0.0 %,100.0 %,0 Times,0 Times,0 Times,0.0 Minutes,0.0 Minutes,0.0 Minutes,0.00 %,0.00 %,0.00 %,surprise,angry,neutral
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/437a322bd136b304f14db4941fe517bf.mp3,0.58 Minutes,0.48 Minutes,82.61%,0.31 Minutes,0.21 Minutes,59.51 %,40.49 %,2 Times,2 Times,0 Times,0.03 Minutes,0.03 Minutes,0.0 Minutes,7.10 %,7.10 %,0.00 %,surprise,surprise,angry
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/2622d28c6c1e1e4deaae64009f4d17b1.mp3,0.27 Minutes,0.18 Minutes,66.29%,0.0 Minutes,0.18 Minutes,0.0 %,100.0 %,0 Times,0 Times,0 Times,0.0 Minutes,0.0 Minutes,0.0 Minutes,0.00 %,0.00 %,0.00 %,surprise,fear,angry
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/38998571ac3fdef68a90d4d27f1517b7.mp3,1.94 Minutes,1.65 Minutes,85.01%,0.27 Minutes,1.48 Minutes,15.27 %,84.73 %,7 Times,4 Times,3 Times,0.09 Minutes,0.08 Minutes,0.01 Minutes,5.56 %,5.09 %,0.46 %,angry,angry,surprise
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/0fed3912f3dae7aebeb947207c7917b1.mp3,0.63 Minutes,0.59 Minutes,93.75%,0.24 Minutes,0.5 Minutes,32.46 %,67.54 %,5 Times,3 Times,2 Times,0.15 Minutes,0.13 Minutes,0.02 Minutes,25.61 %,22.25 %,3.36 %,angry,angry,angry
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/220c31d459a6b1b52c4d638bff1117b6.mp3,0.65 Minutes,0.58 Minutes,89.66%,0.2 Minutes,0.43 Minutes,32.09 %,67.91 %,3 Times,3 Times,0 Times,0.04 Minutes,0.04 Minutes,0.0 Minutes,7.50 %,7.50 %,0.00 %,surprise,surprise,neutral
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/8689cc5294e5c3a399d5a995b1c417b3.mp3,0.11 Minutes,0.04 Minutes,38.87%,0.0 Minutes,0.04 Minutes,0.0 %,100.0 %,0 Times,0 Times,0 Times,0.0 Minutes,0.0 Minutes,0.0 Minutes,0.00 %,0.00 %,0.00 %,surprise,angry,angry
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/433eda41c3da75464b8afb2a59e717b9.mp3,0.39 Minutes,0.25 Minutes,65.28%,0.04 Minutes,0.25 Minutes,12.5 %,87.5 %,1 Times,1 Times,0 Times,0.03 Minutes,0.03 Minutes,0.0 Minutes,11.21 %,11.21 %,0.00 %,angry,angry,angry
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/3a68a35b3a8fce565a3e31790e3c17b9.mp3,1.39 Minutes,1.16 Minutes,83.25%,0.08 Minutes,1.16 Minutes,6.75 %,93.25 %,2 Times,2 Times,0 Times,0.08 Minutes,0.08 Minutes,0.0 Minutes,7.24 %,7.24 %,0.00 %,surprise,angry,angry
